Tree_Label,Phylum,SS,A,G,O,T,V,C,F,K,M,S
1Laevipil,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Acanthoch,Mollusca,0,0,0,0,0,0,0,0,0,0,0
AF135482Carcharodon_carcharias,Chordata ,0,0,0,0,0,0,0,0,0,0,0
AF369055Polypterus,Chordata ,0,0,0,0,0,0,0,0,0,0,0
AF369057U15613_Polyodon_spathul,Chordata ,0,0,0,0,0,0,0,0,0,0,0
Agelenidae,Arthropoda ,1,0,0,0,1,1,1,1,0,0,0
Aliatypus,Arthropoda ,1,1,0,0,0,0,0,0,0,1,0
Alligator_mississipiensis,Chordata ,0,0,0,0,0,0,0,0,0,0,0
Anas_strepera,Chordata ,1,1,0,0,0,1,1,1,0,0,0
Anatoma,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Anisakidae,Nematoda,0,0,0,0,0,0,0,0,0,0,0
Anodonta,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Anomia,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Anoplodact,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Antalise,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Antalisp,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Antro,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Aphonopelma,Arthropoda ,1,0,0,0,1,0,0,1,0,1,0
Aptscolberti,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Arca,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Archaeogna,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Ascaridae,Nematoda,0,0,0,0,0,0,0,0,0,0,0
Aspidoscelis_tigris,Chordata ,1,0,0,0,1,1,1,1,0,0,0
Astarte,Mollusca,0,0,0,0,0,0,0,0,0,0,0
atom,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
AY308763Synodus_intermedius,Chordata ,0,0,0,0,0,0,0,0,0,0,0
AY308764Lampris_guttatus,Chordata ,0,0,0,0,0,0,0,0,0,0,0
AY308765Polymixia_japonica,Chordata ,0,0,0,0,0,0,0,0,0,0,0
AY308766Percopsis_transmontana,Chordata ,0,0,0,0,0,0,0,0,0,0,0
AY308768Perca_flavescens,Chordata ,1,0,0,0,0,1,0,1,0,0,0
AY308778Zenopsis_conchifer,Chordata ,0,0,0,0,0,0,0,0,0,0,0
AY380536Plecoglossus_altivelis,Chordata ,0,0,0,0,0,0,0,0,0,0,0
AY380542Esox_lucius,Chordata ,0,0,0,0,0,0,0,0,0,0,0
AY430199Amia_calva,Chordata ,0,0,0,0,0,0,0,0,0,0,0
AY430201Osteoglossum_bicirrhos,Chordata ,0,0,0,0,0,0,0,0,0,0,0
AY430202Albula_vulpes,Chordata ,0,0,0,0,0,0,0,0,0,0,0
AY430221Notoscopelus_kroyeri,Chordata ,0,0,0,0,0,0,0,0,0,0,0
AY438703Gonostoma_bathyphilum,Chordata ,0,0,0,0,0,0,0,0,0,0,0
AY443564Bathylagus_ochotensis,Chordata ,0,0,0,0,0,0,0,0,0,0,0
Balcis,Mollusca,0,0,0,0,0,0,0,0,0,0,0
bary,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Bathypoly,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Bla_Blaber,Arthropoda ,1,1,0,1,0,0,1,1,0,0,0
Bla_Blatti,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Bla_Crypto,Arthropoda ,1,0,1,1,0,0,0,1,0,1,0
Bla_Ectobi,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Bla_Noctic,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Bla_Polyph,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Boophilusm,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Branchiost,Chordata ,0,0,0,0,0,0,0,0,0,0,0
Bugulaneri,Bryozoa ,0,0,0,0,0,0,0,0,0,0,0
Cadulus,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Calisoga,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Callochit,Mollusca,0,0,0,0,0,0,0,0,0,0,0
Carcinosco,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
